Section,Title,Description,Example Queries,Keywords,,,,,,,,
338,Causing Grievous Hurt by Act Endangering Life or Personal Safety of Others,Causing grievous hurt by act endangering life or personal safety of others.,"Someone caused serious injury while endangering life, what law applies?; Difference between 337 and 338?; Punishment under Section 338?; Real-life examples of grievous hurt?; Is intent necessary?",grievous hurt,endangerment,,,,,,,
339,Wrongful Restraint,Wrongful restraint.,"Someone blocked another person’s path forcibly, what law applies?; Difference between 339 and 340?; Punishment under Section 339?; Example cases of wrongful restraint?; Can restraint be justified?",restraint,wrongful,,,,,,,
340,Wrongful Confinement,Wrongful confinement.,"Someone locked another person in a room without consent, what law applies?; Difference between 340 and 341?; Punishment under Section 340?; Real-life examples of wrongful confinement?; Is intent necessary for confinement?",confinement,wrongful,,,,,,,
Section,Title,Description,Example Queries,Keywords,,,,,,,,
341,Punishment for Wrongful Restraint,Punishment for wrongful restraint.,"Someone restrained another person illegally, what is the punishment?; Difference between 341 and 342?; Real-life cases of wrongful restraint punishment?; Maximum punishment under Section 341?; How does intent affect punishment?",restraint,punishment,,,,,,,
342,Punishment for Wrongful Confinement,Punishment for wrongful confinement.,"Someone locked a person unlawfully, what punishment applies?; Difference between 342 and 341?; Example cases of Section 342?; Maximum jail term under Section 342?; Is intent required for punishment?",confinement,punishment,,,,,,,
343,Wrongful Confinement for Three or More Days,Wrongful confinement for three or more days.,"Someone confined another person for 3+ days illegally, what law applies?; Difference between Sections 342 and 343?; Real-life cases of confinement for multiple days?; Punishment under Section 343?; Does duration affect sentencing?",confinement,wrongful,,,,,,,
344,Wrongful Confinement for Ten or More Days,Wrongful confinement for ten or more days.,"Someone confined another person for 10+ days, which section applies?; Difference between 343 and 344?; Real-life examples of long confinement?; Punishment under Section 344?; Does severity increase with duration?",confinement,wrongful,,,,,,,
345,Wrongful Confinement in Secret,Wrongful confinement in secret.,"Someone secretly confined another person, what law applies?; Difference between 344 and 345?; Real-life examples of secret confinement?; Punishment under Section 345?; Is intent needed for Section 345?",confinement,secret,,,,,,,
346,Wrongful Confinement in Secret,Wrongful confinement in secret.,"A person was secretly locked away, what law applies?; Difference between 345 and 346?; Real-life cases of secret confinement?; Punishment under Section 346?; Does secrecy increase punishment?",confinement,secret,,,,,,,
347,Wrongful Confinement in Secret,Wrongful confinement in secret.,"Someone was secretly confined by another person, what section applies?; Difference between 346 and 347?; Punishment under Section 347?; Real-life examples of secret confinement?; Does intent affect punishment?",confinement,secret,,,,,,,
348,Wrongful Confinement in Secret,Wrongful confinement in secret.,"Person confined someone secretly, what law applies?; Difference between 347 and 348?; Examples of secret confinement cases?; Punishment under Section 348?; Does duration matter?",confinement,secret,,,,,,,
349,Force,Force.,"Someone used force to make another act against their will, what law applies?; Difference between force and assault?; Punishment for using force?; Real-life cases of illegal force?; Is consent relevant in Section 349?",force,,,,,,,,
350,Assault,Assault.,"Someone attacked another person, what law applies?; Difference between assault and hurt?; Punishment under Section 350?; Real-life examples of assault cases?; Does intent matter?",assault,,,,,,,,
351,Assault,Assault.,"Someone threatened or physically attacked another, what section applies?; Difference between 350 and 351?; Punishment under Section 351?; Examples of Section 351 cases?; Can minor injury be considered assault?",assault,,,,,,,,
352,Punishment for Assault or Criminal Force,Punishment for assault or criminal force.,"Someone used criminal force, what punishment applies?; Difference between 351 and 352?; Real-life cases under Section 352?; Maximum punishment for assault?; Does intent affect sentencing?",assault,punishment,,,,,,,
353,Assault or Criminal Force to Deter Public Servant from Discharge of His Duty,Assault or criminal force to deter public servant from discharge of his duty.,"Someone attacked a public servant to prevent duty, which law applies?; Punishment under Section 353?; Difference between 353 and 354?; Real-life cases?; Is intent necessary?",assault,public servant,,,,,,,
354,Assault or Criminal Force to Woman with Intent to Outrage Her Modesty,Assault or criminal force to woman with intent to outrage her modesty.,"Someone assaulted a woman to outrage her modesty, what section applies?; Difference between 354 and 354A?; Punishment under Section 354?; Real-life examples of Section 354?; How is intent proven?",assault,woman,modesty,,,,,,
354A,Sexual Harassment,Sexual harassment of a woman including physical contact, advances, or showing pornography.,"Someone harassed a woman sexually, what law applies?; Difference between 354 and 354A?; Punishment under Section 354A?; Examples of sexual harassment cases?; Does intent affect punishment?",sexual harassment,woman,IPC,,,,
354B,Assault or Use of Criminal Force to Woman with Intent to Disrobe,Assaulting or using criminal force on a woman with intent to disrobe her.,"Someone tried to disrobe a woman forcibly, what section applies?; Punishment under Section 354B?; Real-life cases of 354B?; Difference between 354B and 354C?; Is intent required?",assault,criminal force,disrobe,woman,,,,,
354C,Voyeurism,Watching or capturing images of a woman engaging in private acts without consent.,"Someone recorded a woman secretly, what law applies?; Difference between 354C and 354D?; Punishment under Section 354C?; Examples of voyeurism cases?; Is consent relevant?",voyeurism,privacy,woman,,,,,,
354D,Stalking,Following a woman or contacting her repeatedly to harass or alarm her.,"Someone followed a woman repeatedly to harass, which law applies?; Punishment under Section 354D?; Difference between 354C and 354D?; Real-life stalking cases?; Does repeated contact matter?",stalking,harassment,woman,,,,,,
355,Assault or Criminal Force with Intent to Dishonour Person Otherwise Than on Grave Provocation,Using assault or criminal force with the intent to dishonour a person in situations other than grave provocation.,"Someone assaulted to dishonour another person, which law applies?; Punishment under Section 355?; Difference between 355 and 356?; Real-life examples?; Is intent required?",assault,criminal force,dishonour,IPC,,,,,
356,Assault or criminal force in attempt to commit theft of property carried by a person,Assault or use of criminal force while attempting to steal property carried by someone.,"Someone assaulted to steal property, what law applies?; Punishment under Section 356?; Difference between 356 and 357?; Real-life cases?; Does intent affect punishment?",assault,theft,property,,,,,,
357,Assault or criminal force in attempting wrongfully to confine a person,Assault or use of criminal force while attempting to wrongfully confine someone.,"Someone assaulted while attempting wrongful confinement, which law applies?; Punishment under Section 357?; Difference between 357 and 358?; Real-life cases?; Does duration of attempt matter?",assault,confinement,wrongful,,,,,,
358,Assault or criminal force on grave provocation,Assault or use of criminal force on grave and sudden provocation.,"Someone assaulted under sudden provocation, what law applies?; Difference between 358 and 355?; Punishment under Section 358?; Real-life provocation assault cases?; Does provocation reduce punishment?",assault,provocation,grave,,,,,,
359,Kidnapping,Taking or enticing someone away without consent.,"My neighbor’s kid got kidnapped, what law applies?; Punishment for kidnapping under Section 359?; Difference between 359 and 360?; Real-life kidnapping cases?; Can consent of minor change law application?",kidnapping,consent,abduction,,,,,,
360,Kidnapping from India,Taking someone away from India without consent.,"Someone took a person abroad forcibly, what law applies?; Difference between 359 and 360?; Punishment under Section 360?; Real-life international kidnapping cases?; Does consent matter?",kidnapping,India,consent,,,,,,
361,Kidnapping from lawful guardianship,Taking someone away from their lawful guardian without consent.,"A child was taken from parents without permission, what section applies?; Punishment under Section 361?; Difference between 361 and 362?; Real-life cases?; Does intent matter?",kidnapping,guardianship,consent,,,,,,
362,Abduction,Forcibly or deceitfully taking someone away.,"Someone was taken away by force, what law applies?; Difference between 362 and 361?; Punishment under Section 362?; Real-life abduction cases?; Is deception relevant?",abduction,force,deceit,,,,,,
363,Punishment for kidnapping,Punishment for kidnapping.,"Someone kidnapped another, what punishment applies?; Difference between 363 and 364?; Real-life cases?; Maximum punishment under Section 363?; Does intent affect sentence?",kidnapping,punishment,,,,,,,
364,Kidnapping or abducting in order to murder,Kidnapping or abducting someone with the intent to murder.,"Someone kidnapped with intent to kill, what section applies?; Punishment under Section 364?; Difference between 364 and 365?; Real-life cases of murder kidnapping?; Is intent proven in court?",kidnapping,abduction,murder,,,,,,
365,Kidnapping or abducting with intent to secretly and wrongfully confine person,Kidnapping or abducting someone with the intent to secretly and wrongfully confine them.,"Someone kidnapped to confine another, which law applies?; Punishment under Section 365?; Difference between 365 and 364?; Real-life cases?; Does secrecy affect punishment?",kidnapping,abduction,confinement,,,,,,
366,Kidnapping abducting or inducing woman to compel her marriage,Kidnapping, abducting, or inducing a woman to compel her marriage or to force her into illicit intercourse.,"Someone abducted a woman to force marriage, what law applies?; Punishment under Section 366?; Difference between 366 and 367?; Real-life abduction cases?; Does consent affect Section 366?",kidnapping,woman,marriage,,,,
367,Kidnapping abducting or inducing woman to compel her marriage,Similar to Section 366, further detailing abduction or inducement.,"Someone abducted a woman to compel her marriage, which law applies?; Punishment under Section 367?; Difference from Section 366?; Real-life examples?; Is intent essential?",kidnapping,woman,marriage,,,,,
368,Kidnapping abducting or inducing child under 16 to steal,Similar to Section 367 but for minors.,"Someone abducted a child under 16 to steal, what law applies?; Punishment under Section 368?; Difference between 368 and 367?; Real-life cases?; Does age affect Section 368 application?",kidnapping,child,stealing,,,,,,
369,Kidnapping or abducting child under 10 years,Abduction or kidnapping of a child under 10 years.,"Someone took a child under 10 forcibly, which law applies?; Punishment under Section 369?; Difference between 369 and 368?; Real-life cases of child abduction?; Does intent matter?",kidnapping,child,under10,,,,,,
370,Trafficking of Person,Trafficking a person for exploitation.,"Someone trafficked a person for exploitation, what law applies?; Punishment under Section 370?; Difference between 370 and 370A?; Real-life trafficking cases?; Does consent matter?",trafficking,person,exploitation,,,,,,
371,Unlawful Compulsory Labor,Forcing someone into labor without consent.,"Someone forced labor illegally, what section applies?; Punishment under Section 371?; Difference between 371 and 372?; Real-life forced labor cases?; Does consent affect punishment?",labor,unlawful,,,,,,,
372,Selling Minor for Prostitution,Sale of a minor for prostitution.,"Someone sold a minor for prostitution, what law applies?; Punishment under Section 372?; Difference between 372 and 373?; Real-life cases?; Does age matter?",minor,prostitution,sale,,,,,,
373,Buying Minor for Prostitution,Buying a minor for prostitution.,"Someone bought a minor for prostitution, which law applies?; Punishment under Section 373?; Difference between 372 and 373?; Real-life cases?; Does intent matter?",minor,prostitution,buy,,,,,,
374,Cruelty by Husband or Relatives,Cruelty by husband or relatives towards a woman.,"A woman faces cruelty from husband or relatives, what law applies?; Punishment under Section 374?; Difference between 374 and 375?; Real-life cases of cruelty?; Does intent matter?",cruelty,husband,relatives,,,,,,
375,Rape,Rape of a woman.,"Someone raped a woman, what section applies?; Punishment under Section 375?; Difference between 375 and 376?; Real-life rape cases?; Does consent matter?",rape,woman,,,,,,,
376,Punishment for Rape,Punishment for rape.,"Someone committed rape, what punishment applies?; Difference between 375 and 376?; Real-life Section 376 cases?; Maximum sentence for rape?; Does intent affect sentencing?",rape,punishment,,,,,,,
377,Unnatural Offences,Unnatural offences including sexual acts against order of nature.,"Someone committed an unnatural offence, which law applies?; Punishment under Section 377?; Real-life examples?; Difference between 377 and other sexual offence laws?; Does consent matter?",unnatural offences,sexual,IPC,,,,,,
,,,,,,,,,,,,
354D,Stalking (Including Cyber Stalking),Monitoring or contacting a woman through internet, email, or any form of electronic communication despite her disinterest.,What happens if someone keeps sending me messages online after I said no?; Can following someone’s Instagram stories repeatedly be stalking?; Is cyberstalking punishable under IPC?; Can WhatsApp harassment fall under IPC 354D?; Examples of cyberstalking cases?,stalking,cyberstalking,harassment,woman,online,,
499,Defamation,Making or publishing any false statement that harms reputation, including online/social media posts.,What if someone spreads lies about me on Facebook?; Can I sue for defamation on Twitter?; What counts as cyber defamation?; Is YouTube slander a defamation case?; Famous online defamation examples?,defamation,reputation,online,social media,false statements,,,
500,Punishment for Defamation,Provides punishment for defamation, including digital cases.,What is the punishment for online defamation?; Can jail be given for cyber defamation?; What’s the fine for IPC 500?; Can companies use IPC 500 for online trolls?; Case laws for IPC 500?,defamation,punishment,online,reputation,,,,
507,Criminal Intimidation by Anonymous Communication,Threats or blackmail via anonymous online messages, emails, or fake accounts.,What if I get death threats by email?; Can fake Instagram accounts used for blackmail be punished?; Is cyberbullying covered under IPC 507?; What does anonymous intimidation mean legally?; Examples of cyber intimidation cases?,intimidation,threats,anonymous,email,fake identity,,
509,Insulting the Modesty of a Woman,Insulting modesty of a woman through obscene words, gestures, or online acts.,Can obscene DMs be punished under IPC 509?; Is sending lewd memes to a woman online punishable?; What happens if a man insults a woman in a WhatsApp group?; Does IPC 509 apply to online videos?; Examples of IPC 509 cyber cases?,woman,modesty,obscene,harassment,insult,,
420,Cheating and Dishonestly Inducing Delivery of Property,Cheating through online scams, phishing, fake e-commerce frauds, crypto scams, etc.,Can I complain about an online shopping scam?; Is crypto fraud covered under IPC 420?; What about lottery scam emails?; Difference between online cheating and offline cheating?; Famous cyber fraud cases under 420?,cheating,fraud,phishing,online,scam
43 (IT Act),Penalty for Damage to Computer/Unauthorised Access,Penalty for unauthorized access, introducing viruses, destroying or altering data.,What happens if someone hacks into my system?; Can spreading a computer virus be punished?; What is Section 43 IT Act?; Real cyber breach examples under Section 43?; Difference between hacking and unauthorized access?,unauthorized access,virus,data,damage,hacking,,
65 (IT Act),Tampering with Computer Source Documents,Knowingly concealing, destroying, or altering computer source code.,What if someone deletes important source code?; Can altering logs to cover hacking be punished?; Is erasing CCTV code a Section 65 offence?; Examples of Section 65 IT Act cases?; Difference between Section 65 and Section 66?,tampering,source code,altering,logs,IT Act,,
66 (IT Act),Computer Related Offences,Broad section covering unauthorized access, data theft, spreading malware, etc.,What is Section 66 IT Act?; Can stealing computer files be punished?; Does Section 66 cover hacking?; Is unauthorized download of company files illegal?; Examples of Section 66 cybercrime cases?,hacking,data theft,unauthorized access,malware,,
66B (IT Act),Dishonestly Receiving Stolen Computer Resource,Receiving stolen laptops, phones, or digital data knowingly.,What if I buy a stolen laptop online?; Is knowingly using hacked data punishable?; What punishment applies under Section 66B?; Cases of stolen device reselling online?; Difference between IPC stolen goods and Section 66B?,stolen goods,computer resource,IT Act,,,,
66C (IT Act),Identity Theft,Fraudulently using another’s password, signature, or digital identity.,What if someone uses my Aadhaar details online?; Is stolen credit card use identity theft?; Can someone logging into my Facebook be punished?; Section 66C examples of cases?; Difference between identity theft and impersonation?,identity theft,password,impersonation,credentials,,,
66D (IT Act),Cheating by Personation Using Computer,Cheating by creating fake profiles, emails, websites to impersonate someone.,What if someone makes a fake Instagram to scam others?; Can I complain if someone impersonates me online?; Is phishing covered under 66D?; Difference between IPC 420 and IT Act 66D?; Examples of impersonation cases?,impersonation,phishing,scam,fake profiles,,,
66E (IT Act),Violation of Privacy,Capturing, publishing or transmitting images of a person’s private parts without consent.,Is leaking private photos without consent punishable?; What if someone circulates bathroom pictures?; Section 66E examples?; Is this different from IPC 354C voyeurism?; Famous privacy violation cases?,privacy,obscene,images,consent,,,,
66F (IT Act),Cyber Terrorism,Acts of cyber terrorism affecting sovereignty, integrity, or security of India.,Is hacking government websites cyber terrorism?; What punishment applies under Section 66F?; Can spreading fake news be cyber terrorism?; Examples of Section 66F?; Difference between normal hacking and cyber terrorism?,cyber terrorism,hacking,security,national,,,
67 (IT Act),Publishing or Transmitting Obscene Material,Publishing or transmitting obscene material in electronic form.,What if someone uploads obscene videos online?; Can obscene WhatsApp forwards be punished?; Section 67 case studies?; Difference between IPC 292 and IT Act 67?; What counts as obscene content digitally?,obscene,online,transmit,IT Act,,,,,
67A (IT Act),Publishing or Transmitting Sexually Explicit Content,Publishing or transmitting sexually explicit material.,Is sharing porn videos in groups punishable?; Section 67A punishment details?; Can OnlyFans users be booked?; Examples of Section 67A cases?; Difference between 67 and 67A?,sexually explicit,obscene,sex content,IT Act,,,,,
67B (IT Act),Child Pornography,Publishing, transmitting, browsing child porn material in electronic form.,Is downloading child porn illegal?; Can browsing child porn be punished?; Section 67B famous cases?; Difference between possessing and transmitting child porn?; Punishment for WhatsApp groups with child sexual content?,child porn,sexual abuse,online,IT Act,,,
