Section,Title,Description,Example Queries,Keywords,LawType,Domain,Intent
310,Adultery,Voluntary sexual intercourse with a married woman without her husband's consent.,"Someone had a relationship with a married woman, is this adultery?; What was the punishment for adultery?; Is adultery still a crime in India?; Difference between adultery and rape?; Example Supreme Court cases on adultery?","adultery, marriage, consent",Criminal Law,Offences Against Human Body,Intentional
311,Punishment for Abetment (General Criminal Liability Distinction),Defines punishment for abetment and clarifies liability when a person intentionally encourages or assists commission of a crime without directly committing it. Distinguishes abetment from direct participation and conspiracy,"If I only help plan a crime but don't do it, am I guilty?;What is difference between abetment and committing crime directly?;Can someone be punished for helping in crime indirectly?;Is instigation of crime punishable even if crime not committed?;How is liability decided in abetment cases?","abetment vs direct crime India;instigation of offence law India;criminal assistance punishment India;difference abetment conspiracy IPC;indirect criminal liability India",Criminal Law,General Criminal Liability,Distinction
312,Causing Miscarriage,Causing miscarriage without woman's consent.,"Someone caused miscarriage without consent, what law applies?; Punishment under Section 312 IPC?; Difference between IPC 312 and 313?; Examples of miscarriage cases under IPC 312?; Are there exceptions for causing miscarriage?","miscarriage, consent",Criminal Law,Offences Against Human Body,Intentional
313,Causing Miscarriage Without Woman's Consent,Causing miscarriage without woman's consent.,"What is the law for causing miscarriage without consent?; How is punishment different from IPC 312?; Why is IPC 313 more serious?; Examples of legal cases under IPC 313?; Difference between IPC 312 and IPC 313?","miscarriage, woman's consent",Criminal Law,Offences Against Human Body,Intentional
314,Death Caused by Act Done with Intent to Cause Miscarriage,Death caused by act done with intent to cause miscarriage.,"A woman died after someone tried to cause a miscarriage, what law applies?; What is the punishment if death occurs while attempting abortion?; How is this different from regular abortion laws?; Can intent be proven in miscarriage-related death?; Example cases of death caused by abortion attempts?","death, miscarriage, intent",Criminal Law,Offences Against Human Body,Intentional
315,Act Done with Intent to Cause Abortion,Act done with intent to cause abortion.,"Someone tried to abort a pregnancy intentionally, what law applies?; Is it punishable to attempt abortion with intent?; Difference between lawful and unlawful abortion under the law?; What punishment is prescribed under Section 315?; Real-life examples of intent-based abortion cases?","abortion, intent",Criminal Law,Offences Against Human Body,Intentional
316,Causing Death by Act Done with Intent to Cause Abortion,Causing death by act done with intent to cause abortion.,"A person caused death while attempting abortion, what section applies?; How is Section 316 different from 314?; What punishment is given if death occurs in abortion attempt?; Can accidental death during abortion be treated differently?; Example case under Section 316 IPC?","death, abortion, intent",Criminal Law,Offences Against Human Body,Intentional
317,Exposure and Abandonment of Child Under Twelve Years,Exposure and abandonment of child under twelve years.,"Someone left a 10-year-old child alone in the street, is this punishable?; What law applies if a child under 12 is abandoned?; Can parents be punished for abandoning a child?; Real-life examples of child abandonment?; Difference between neglect and abandonment under IPC?","child, exposure, abandonment",Criminal Law,Offences Against Human Body,Intentional
318,Concealment of Birth by Secret Disposal of Dead Body,Concealment of birth by secret disposal of dead body.,"A parent secretly disposed of a newborn, what law applies?; Is hiding a dead body punishable?; Difference between abandonment and concealment of birth?; What punishment does IPC 318 prescribe?; Can someone be charged for concealing a birth if the baby was stillborn?","birth, concealment, dead body",Criminal Law,Offences Against Human Body,Intentional
319,Grievous Hurt,Hurt which endangers life or causes serious harm.,"Someone injured another person seriously, what is considered grievous hurt?; How is grievous hurt different from simple hurt?; What punishment applies for grievous hurt?; Can minor injuries be treated as grievous hurt?; Real-life examples of grievous hurt cases?","grievous hurt, injury",Criminal Law,Hurt & Grievous Hurt,Mixed
320,Grievous Hurt – List of Injuries,List of injuries that are considered grievous.,"What injuries are listed under grievous hurt?; Is fracture considered grievous hurt?; Difference between IPC 320 and 319?; Real-life cases of listed grievous injuries?; Can any injury be considered grievous hurt?","grievous hurt, injuries",Criminal Law,Hurt & Grievous Hurt,Mixed
321,Voluntarily Causing Hurt,Voluntarily causing hurt.,"Someone intentionally caused minor injury, which section applies?; How is voluntary hurt punished?; Difference between voluntary and involuntary hurt?; Example of voluntarily causing hurt in real life?; What punishment can someone get for voluntary hurt?","hurt, voluntary, causing",Criminal Law,Hurt & Grievous Hurt,Intentional
322,Voluntarily Causing Grievous Hurt,Voluntarily causing grievous hurt.,"Someone intentionally caused serious injury, what section applies?; What is the punishment for causing grievous hurt voluntarily?; Difference between 321 and 322 IPC?; Example of voluntary grievous hurt; Does intent matter for Section 322 cases?","grievous hurt, voluntary",Criminal Law,Hurt & Grievous Hurt,Intentional
323,Punishment for Hurt,Punishment for hurt.,"What is the punishment for voluntarily causing hurt?; How is hurt different from grievous hurt?; Can punishment vary depending on injury severity?; Real-life examples of hurt punishment cases?; Is there a maximum sentence for causing hurt under IPC?","hurt, punishment",Criminal Law,Hurt & Grievous Hurt,Mixed
324,Voluntarily Causing Hurt by Dangerous Weapons or Means,Voluntarily causing hurt by dangerous weapons or means.,"Someone used a weapon to injure another person, what law applies?; What is the punishment for causing hurt by weapon?; How are dangerous means defined under IPC 324?; Examples of Section 324 cases?; Difference between 321 and 324?","hurt, dangerous weapons",Criminal Law,Hurt & Grievous Hurt,Intentional
325,Punishment for Voluntarily Causing Grievous Hurt,Punishment for voluntarily causing grievous hurt.,"What punishment applies for causing grievous hurt voluntarily?; Can serious injury lead to higher sentences?; Difference between 322 and 325?; Real-life 325 cases?; Maximum punishment for voluntary grievous hurt?","grievous hurt, punishment",Criminal Law,Hurt & Grievous Hurt,Intentional
326,Voluntarily Causing Grievous Hurt by Dangerous Weapons or Means,Voluntarily causing grievous hurt by dangerous weapons or means.,"Someone used a weapon and caused grievous hurt, which law applies?; Difference between 325 and 326?; What is the punishment for Section 326?; Examples of cases involving dangerous weapons?; Are certain weapons treated more severely under IPC 326?","grievous hurt, dangerous weapons",Criminal Law,Hurt & Grievous Hurt,Intentional
326A,Causing Hurt by Acid Attack,Causing hurt by acid attack.,"A person threw acid on someone, what punishment applies?; Is acid attack treated differently from other grievous hurt?; Difference between 326A and 326B?; Examples of acid attack cases?; What punishment is prescribed under IPC 326A?","acid attack, hurt",Criminal Law,Hurt & Grievous Hurt,Intentional
326B,Throwing Acid with Intent to Cause Hurt,Throwing acid with intent to cause hurt.,"Someone threw acid intending to injure, what law applies?; Difference between 326A and 326B?; Punishment for intentional acid attack?; Real acid attack case example?; How is intent proven under Section 326B?","acid, throwing, intent",Criminal Law,Hurt & Grievous Hurt,Intentional
327,Causing Hurt by Poisonous Substance,Causing hurt by poisonous substance.,"Someone poisoned another person, what law applies?; Difference between 327 and 328 IPC?; Punishment for poisoning?; Example of hurt by poison case?; Does intent matter when poisoning someone?","hurt, poisonous substance",Criminal Law,Hurt & Grievous Hurt,Intentional
328,Causing Hurt by Means of Poison, "Stupefying or Intoxicating Substances,Causing hurt by means of poison, stupefying or intoxicating substances.","Someone used poison or intoxicants to hurt, what section applies?; Difference between 327 and 328?; Punishment for causing hurt by poison or intoxicants?; Real-life poisoning case?; Is intent required under Section 328?","hurt, poison, stupefying substance",Criminal Law,Hurt & Grievous Hurt,Intentional
329,Causing Hurt by Means of Poisonous Substance,Causing hurt by means of poisonous substance.,"Someone hurt another by poisonous substance, what law applies?; Difference between 328 and 329 IPC?; Punishment under Section 329?; Are there specific rules for poisonous substances?; Example case under Section 329?","hurt, poisonous substance",Criminal Law,Hurt & Grievous Hurt,Intentional
330,Causing Hurt to Extort Confession or to Compel Restoration of Property,Causing hurt to extort confession or compel restoration of property.,"Someone injured another to force confession, what section applies?; Punishment for hurting to extort?; Difference between Sections 330 and 331?; Real-life Section 330 examples?; Does intent affect punishment in Section 330?","hurt, extortion, confession",Criminal Law,Hurt & Grievous Hurt,Intentional
331,Causing Hurt to Extort Confession or to Compel Restoration of Property,Causing hurt to extort confession or compel restoration of property.,"Someone caused injury to force return of property, what law applies?; Punishment under Section 331?; Difference between 330 and 331?; Real-life extortion by hurt examples?; Are there maximum punishments under Section 331?","hurt, extortion, confession",Criminal Law,Hurt & Grievous Hurt,Intentional
332,Voluntarily Causing Hurt to Deter Public Servant from His Duty,Voluntarily causing hurt to deter public servant from his duty.,"Someone injured a public servant to stop them from duty, what law applies?; Punishment under Section 332?; Difference between 332 and 333?; Example cases under Section 332?; Is intent required for Section 332?","hurt, public servant",Criminal Law,Hurt & Grievous Hurt,Intentional
333,Voluntarily Causing Hurt to Deter Public Servant from His Duty,Voluntarily causing hurt to deter public servant from his duty.,"Someone hurt a public servant to prevent duty, what law applies?; Punishment under Section 333?; Difference between 332 and 333?; Real-life cases of public servant hurt?; Is intent necessary for Section 333?","hurt, public servant",Criminal Law,Hurt & Grievous Hurt,Intentional
334,Causing Hurt on Provocation,Causing hurt on provocation.,"Someone injured another in a sudden quarrel, is it punishable?; Difference between 334 and 335?; Example of hurt on provocation?; Punishment under Section 334?; Does provocation reduce sentence?","hurt, provocation",Criminal Law,Hurt & Grievous Hurt,Mixed
335,Causing Hurt on Provocation,Causing hurt on provocation.,"A person acted violently after being provoked, what law applies?; Difference between 334 and 335?; Real-life examples of hurt on provocation?; Punishment under Section 335?; Can provocation affect sentence?","hurt, provocation",Criminal Law,Hurt & Grievous Hurt,Mixed
336,Act Endangering Life or Personal Safety of Others,Act endangering life or personal safety of others.,"Someone fired a gun recklessly, endangering others, what law applies?; Punishment under Section 336?; Difference between 336 and 337?; Real-life examples of endangerment?; What acts fall under Section 336?","endangerment, life, safety",Criminal Law,Endangerment,Negligent
337,Causing Hurt by Act Endangering Life or Personal Safety of Others,Causing hurt by act endangering life or personal safety of others.,"Someone caused injury while endangering life, what section applies?; Punishment under Section 337?; Difference between 337 and 338?; Example cases under Section 337?; Is intent required for Section 337?","hurt, endangerment",Criminal Law,Endangerment,Negligent
338,Causing Grievous Hurt by Act Endangering Life or Personal Safety of Others,Causing grievous hurt by act endangering life or personal safety of others.,"Someone caused serious injury while endangering life, what law applies?; Difference between 337 and 338?; Punishment under Section 338?; Real-life examples of grievous hurt?; Is intent necessary?","grievous hurt, endangerment",Criminal Law,Endangerment,Negligent
339,Wrongful Restraint,Wrongful restraint.,"Someone blocked another person’s path forcibly, what law applies?; Difference between 339 and 340?; Punishment under Section 339?; Example cases of wrongful restraint?; Can restraint be justified?","restraint, wrongful",Criminal Law,Wrongful Restraint & Confinement,Intentional
340,Wrongful Confinement,Wrongful confinement.,"Someone locked another person in a room without consent, what law applies?; Difference between 340 and 341?; Punishment under Section 340?; Real-life examples of wrongful confinement?; Is intent necessary for confinement?","confinement, wrongful",Criminal Law,Wrongful Restraint & Confinement,Intentional
341,Punishment for Wrongful Restraint,Punishment for wrongful restraint.,"Someone restrained another person illegally, what is the punishment?; Difference between 341 and 342?; Real-life cases of wrongful restraint punishment?; Maximum punishment under Section 341?; How does intent affect punishment?","restraint, punishment",Criminal Law,Wrongful Restraint & Confinement,Intentional
342,Punishment for Wrongful Confinement,Punishment for wrongful confinement.,"Someone locked a person unlawfully, what punishment applies?; Difference between 342 and 341?; Example cases of Section 342?; Maximum jail term under Section 342?; Is intent required for punishment?","confinement, punishment",Criminal Law,Wrongful Restraint & Confinement,Intentional
343,Wrongful Confinement for Three or More Days,Wrongful confinement for three or more days.,"Someone confined another person for 3+ days illegally, what law applies?; Difference between Sections 342 and 343?; Real-life cases of confinement for multiple days?; Punishment under Section 343?; Does duration affect sentencing?","confinement, wrongful",Criminal Law,Wrongful Restraint & Confinement,Intentional
344,Wrongful Confinement for Ten or More Days,Wrongful confinement for ten or more days.,"Someone confined another person for 10+ days, which section applies?; Difference between 343 and 344?; Real-life examples of long confinement?; Punishment under Section 344?; Does severity increase with duration?","confinement, wrongful",Criminal Law,Wrongful Restraint & Confinement,Intentional
345,Wrongful Confinement in Secret,Wrongful confinement in secret.,"Someone secretly confined another person, what law applies?; Difference between 344 and 345?; Real-life examples of secret confinement?; Punishment under Section 345?; Is intent needed for Section 345?","confinement, secret",Criminal Law,Wrongful Restraint & Confinement,Intentional
Section,Title,Description,Example Queries,Keywords,LawType,Domain,Intent
346,Wrongful Confinement in Secret,Wrongful confinement in secret.,"A person was secretly locked away, what law applies?; Difference between 345 and 346?; Real-life cases of secret confinement?; Punishment under Section 346?; Does secrecy increase punishment?","confinement, secret",Criminal Law,Wrongful Restraint & Confinement,Intentional
347,Wrongful Confinement in Secret,Wrongful confinement in secret.,"Someone was secretly confined by another person, what section applies?; Difference between 346 and 347?; Punishment under Section 347?; Real-life examples of secret confinement?; Does intent affect punishment?","confinement, secret",Criminal Law,Wrongful Restraint & Confinement,Intentional
348,Wrongful Confinement in Secret,Wrongful confinement in secret.,"Person confined someone secretly, what law applies?; Difference between 347 and 348?; Examples of secret confinement cases?; Punishment under Section 348?; Does duration matter?","confinement, secret",Criminal Law,Wrongful Restraint & Confinement,Intentional
349,Force,Force.,"Someone used force to make another act against their will, what law applies?; Difference between force and assault?; Punishment for using force?; Real-life cases of illegal force?; Is consent relevant in Section 349?","force",Criminal Law,Assault & Criminal Force,Intentional
350,Assault,Assault.,"Someone attacked another person, what law applies?; Difference between assault and hurt?; Punishment under Section 350?; Real-life examples of assault cases?; Does intent matter?","assault",Criminal Law,Assault & Criminal Force,Intentional
351,Assault,Assault.,"Someone threatened or physically attacked another, what section applies?; Difference between 350 and 351?; Punishment under Section 351?; Examples of Section 351 cases?; Can minor injury be considered assault?","assault",Criminal Law,Assault & Criminal Force,Intentional
352,Punishment for Assault or Criminal Force,Punishment for assault or criminal force.,"Someone used criminal force, what punishment applies?; Difference between 351 and 352?; Real-life cases under Section 352?; Maximum punishment for assault?; Does intent affect sentencing?","assault, punishment",Criminal Law,Assault & Criminal Force,Intentional
353,Assault or Criminal Force to Deter Public Servant from Discharge of His Duty,Assault or criminal force to deter public servant from discharge of his duty.,"Someone attacked a public servant to prevent duty, which law applies?; Punishment under Section 353?; Difference between 353 and 354?; Real-life cases?; Is intent necessary?","assault, public servant",Criminal Law,Assault & Criminal Force,Intentional
354,Assault or Criminal Force to Woman with Intent to Outrage Her Modesty,Assault or criminal force to woman with intent to outrage her modesty.,"Someone assaulted a woman to outrage her modesty, what section applies?; Difference between 354 and 354A?; Punishment under Section 354?; Real-life examples of Section 354?; How is intent proven?","assault, woman, modesty",Criminal Law,Offences Against Women,Intentional
354A,Sexual Harassment,"Sexual harassment of a woman including physical contact, advances, or showing pornography.","Someone harassed a woman sexually, what law applies?; Difference between 354 and 354A?; Punishment under Section 354A?; Examples of sexual harassment cases?; Does intent affect punishment?","sexual harassment, woman, IPC",Criminal Law,Offences Against Women,Intentional
354B,Assault or Use of Criminal Force to Woman with Intent to Disrobe,Assaulting or using criminal force on a woman with intent to disrobe her.,"Someone tried to disrobe a woman forcibly, what section applies?; Punishment under Section 354B?; Real-life cases of 354B?; Difference between 354B and 354C?; Is intent required?","assault, criminal force, disrobe, woman",Criminal Law,Offences Against Women,Intentional
354C,Voyeurism,Watching or capturing images of a woman engaging in private acts without consent.,"Someone recorded a woman secretly, what law applies?; Difference between 354C and 354D?; Punishment under Section 354C?; Examples of voyeurism cases?; Is consent relevant?","voyeurism, privacy, woman",Criminal Law,Offences Against Women,Intentional
354D,Stalking,Following a woman or contacting her repeatedly to harass or alarm her.,"Someone followed a woman repeatedly to harass, which law applies?; Punishment under Section 354D?; Difference between 354C and 354D?; Real-life stalking cases?; Does repeated contact matter?","stalking, harassment, woman",Criminal Law,Offences Against Women,Intentional
355,Assault or Criminal Force with Intent to Dishonour Person Otherwise Than on Grave Provocation,Using assault or criminal force with the intent to dishonour a person in situations other than grave provocation.,"Someone assaulted to dishonour another person, which law applies?; Punishment under Section 355?; Difference between 355 and 356?; Real-life examples?; Is intent required?","assault, criminal force, dishonour, IPC",Criminal Law,Assault & Criminal Force,Intentional
356,Assault or criminal force in attempt to commit theft of property carried by a person,Assault or use of criminal force while attempting to steal property carried by someone.,"Someone assaulted to steal property, what law applies?; Punishment under Section 356?; Difference between 356 and 357?; Real-life cases?; Does intent affect punishment?","assault, theft, property",Criminal Law,Property Offences,Intentional
357,Assault or criminal force in attempting wrongfully to confine a person,Assault or use of criminal force while attempting to wrongfully confine someone.,"Someone assaulted while attempting wrongful confinement, which law applies?; Punishment under Section 357?; Difference between 357 and 358?; Real-life cases?; Does duration of attempt matter?","assault, confinement, wrongful",Criminal Law,Wrongful Restraint & Confinement,Intentional
358,Assault or criminal force on grave provocation,Assault or use of criminal force on grave and sudden provocation.,"Someone assaulted under sudden provocation, what law applies?; Difference between 358 and 355?; Punishment under Section 358?; Real-life provocation assault cases?; Does provocation reduce punishment?","assault, provocation, grave",Criminal Law,Assault & Criminal Force,Mixed
359,Kidnapping,Taking or enticing someone away without consent.,"My neighbor’s kid got kidnapped, what law applies?; Punishment for kidnapping under Section 359?; Difference between 359 and 360?; Real-life kidnapping cases?; Can consent of minor change law application?","kidnapping, consent, abduction",Criminal Law,Kidnapping & Abduction,Intentional
360,Kidnapping from India,Taking someone away from India without consent.,"Someone took a person abroad forcibly, what law applies?; Difference between 359 and 360?; Punishment under Section 360?; Real-life international kidnapping cases?; Does consent matter?","kidnapping, India, consent",Criminal Law,Kidnapping & Abduction,Intentional
361,Kidnapping from lawful guardianship,Taking someone away from their lawful guardian without consent.,"A child was taken from parents without permission, what section applies?; Punishment under Section 361?; Difference between 361 and 362?; Real-life cases?; Does intent matter?","kidnapping, guardianship, consent",Criminal Law,Kidnapping & Abduction,Intentional
362,Abduction,Forcibly or deceitfully taking someone away.,"Someone was taken away by force, what law applies?; Difference between 362 and 361?; Punishment under Section 362?; Real-life abduction cases?; Is deception relevant?","abduction, force, deceit",Criminal Law,Kidnapping & Abduction,Intentional
363,Punishment for kidnapping,Punishment for kidnapping.,"Someone kidnapped another, what punishment applies?; Difference between 363 and 364?; Real-life cases?; Maximum punishment under Section 363?; Does intent affect sentence?","kidnapping, punishment",Criminal Law,Kidnapping & Abduction,Intentional
364,Kidnapping or abducting in order to murder,Kidnapping or abducting someone with the intent to murder.,"Someone kidnapped with intent to kill, what section applies?; Punishment under Section 364?; Difference between 364 and 365?; Real-life cases of murder kidnapping?; Is intent proven in court?","kidnapping, abduction, murder",Criminal Law,Kidnapping & Abduction,Intentional
365,Kidnapping or abducting with intent to secretly and wrongfully confine person,Kidnapping or abducting someone with the intent to secretly and wrongfully confine them.,"Someone kidnapped to confine another, which law applies?; Punishment under Section 365?; Difference between 365 and 364?; Real-life cases?; Does secrecy affect punishment?","kidnapping, abduction, confinement",Criminal Law,Kidnapping & Abduction,Intentional
366,Kidnapping abducting or inducing woman to compel her marriage, "Kidnapping, abducting, or inducing a woman to compel her marriage or to force her into illicit intercourse.","Someone abducted a woman to force marriage, what law applies?; Punishment under Section 366?; Difference between 366 and 367?; Real-life abduction cases?; Does consent affect Section 366?","kidnapping, woman, marriage",Criminal Law,Offences Against Women,Intentional
367,Kidnapping or abducting in order to subject person to grievous hurt, "Kidnapping or abducting someone to subject them to grievous hurt, slavery, or unlawful sexual exploitation.","Someone abducted a person to harm or exploit them, what law applies?; Punishment under Section 367?; Difference between 367 and 366?; Real-life cases?; Is intent required?","kidnapping, abduction, grievous hurt",Criminal Law,Kidnapping & Abduction,Intentional
368,Wrongful concealment of kidnapped or abducted person,Wrongfully concealing or confining a kidnapped or abducted person.,"Someone hid a kidnapped person, what law applies?; Punishment under Section 368?; Difference between 368 and 369?; Real-life cases?; Does knowledge matter?","concealment, kidnapping, abduction",Criminal Law,Kidnapping & Abduction,Intentional
369,Kidnapping or abducting child under ten years with intent to steal,Kidnapping or abducting a child under 10 years with intent to steal from the child.,"Someone kidnapped a child to steal from them, what law applies?; Punishment under Section 369?; Difference between 369 and 363?; Real-life cases?; Does age matter?","kidnapping, child, theft",Criminal Law,Kidnapping & Abduction,Intentional
370,Trafficking of persons,"Recruitment, transport, harbouring or receipt of persons for exploitation.","Someone trafficked a person for exploitation, what law applies?; Punishment under Section 370?; Difference between 370 and 370A?; Real-life trafficking cases?; Does consent matter?","trafficking, person, exploitation",Criminal Law,Human Trafficking,Intentional
371,Habitual dealing in slaves,Habitually dealing in slaves or trafficking persons as slaves.,"Someone is repeatedly selling people illegally, what law applies?; Punishment under Section 371?; Difference between 370 and 371?; Real-life slavery cases?; Is intent required?","slavery, trafficking, dealing",Criminal Law,Human Trafficking,Intentional
372,Selling minor for prostitution,Selling or disposing of a minor for prostitution or illicit intercourse.,"Someone sold a minor for prostitution, what law applies?; Punishment under Section 372?; Difference between 372 and 373?; Real-life cases?; Does age matter?","minor, prostitution, sale",Criminal Law,Offences Against Children,Intentional
373,Buying minor for prostitution,Buying or hiring a minor for prostitution or illicit purposes.,"Someone bought a minor for prostitution, which law applies?; Punishment under Section 373?; Difference between 372 and 373?; Real-life cases?; Does intent matter?","minor, prostitution, buying",Criminal Law,Offences Against Children,Intentional
374,Unlawful compulsory labour,Forcing a person to work against their will without lawful justification.,"Someone forced labor illegally, what section applies?; Punishment under Section 374?; Difference between 374 and 370?; Real-life forced labor cases?; Does consent affect punishment?","labor, unlawful, forced",Criminal Law,Human Exploitation,Intentional
375,Rape,Sexual intercourse with a woman without her consent under defined conditions.,"Someone raped a woman, what section applies?; Difference between 375 and 376?; Real-life rape cases?; What constitutes consent?; Legal definition of rape?","rape, consent, woman",Criminal Law,Sexual Offences,Intentional
376,Punishment for rape,Punishment prescribed for committing rape.,"Someone committed rape, what punishment applies?; Difference between 375 and 376?; Real-life Section 376 cases?; Maximum sentence for rape?; Does severity affect punishment?","rape, punishment",Criminal Law,Sexual Offences,Intentional
377,Unnatural offences,Sexual acts against the order of nature (partially decriminalized for consenting adults).,"Someone committed an unnatural offence, which law applies?; What is current legal status of Section 377?; Real-life examples?; Does consent matter?; Supreme Court judgment on 377?","unnatural offences, sexual, IPC",Criminal Law,Sexual Offences,Mixed
354D,Stalking (Including Cyber Stalking),Monitoring or contacting a woman repeatedly including via electronic communication despite disinterest.,"What happens if someone keeps messaging me after refusal?; Is cyberstalking punishable?; Can WhatsApp harassment fall under IPC 354D?; Examples of cyberstalking?; Is repeated contact required?","stalking, cyberstalking, harassment, woman, online",Criminal Law,Offences Against Women,Intentional
499,Defamation,Making or publishing false statements harming a person’s reputation.,"Someone spread lies about me online, what law applies?; Can I sue for defamation?; What counts as cyber defamation?; Is social media defamation punishable?; Examples of defamation cases?","defamation, reputation, false statements, online",Criminal Law,Reputation Offences,Intentional
500,Punishment for Defamation,Punishment prescribed for defamation.,"What is punishment for defamation?; Can jail be given?; What fine applies?; Real-life cases?; Can companies file defamation cases?","defamation, punishment",Criminal Law,Reputation Offences,Intentional
507,Criminal Intimidation by Anonymous Communication,Threats or intimidation via anonymous communication.,"What if I get threats from fake accounts?; Is anonymous intimidation punishable?; Can cyberbullying fall under 507?; Real-life cases?; What counts as anonymous threat?","intimidation, threats, anonymous, online",Criminal Law,Criminal Intimidation,Intentional
509,Insulting the Modesty of a Woman,Insulting modesty of a woman through words gestures or acts including online.,"Can obscene messages be punished?; Is WhatsApp harassment covered?; What counts as insulting modesty?; Real-life cases?; Does online abuse apply?","woman, modesty, insult, harassment",Criminal Law,Offences Against Women,Intentional
420,Cheating and Dishonestly Inducing Delivery of Property,Cheating and fraud including online scams and deception.,"Can I complain about online scam?; Is phishing covered?; What about crypto fraud?; Difference between cheating and breach of trust?; Real-life fraud cases?","cheating, fraud, phishing, scam",Criminal Law,Property Offences,Intentional
43 (IT Act),Penalty for damage to computer or unauthorized access,Unauthorized access or damage to computer systems or data.,"What happens if someone hacks my system?; Is spreading virus punishable?; What is Section 43 IT Act?; Real cyber cases?; Difference between hacking and access?","unauthorized access, hacking, data damage",Cyber Law,IT Act Offences,Intentional
65 (IT Act),Tampering with computer source documents,Altering or destroying computer source code knowingly.,"What if someone deletes source code?; Is log tampering punishable?; Section 65 examples?; Difference between 65 and 66?; Real cases?","tampering, source code, logs",Cyber Law,IT Act Offences,Intentional
